Zipcode,Population Total,Bachelor population,Master population,Professional school degree population,Doctorate degree population
ZCTA5 21867,29,0,0,0,0
ZCTA5 21869,670,95,54,27,1
ZCTA5 21871,1424,151,60,13,28
ZCTA5 21872,478,50,18,0,0
ZCTA5 21874,1417,128,74,3,1
ZCTA5 21875,4421,519,314,36,64
ZCTA5 21890,3276,19,58,23,19
ZCTA5 21901,12581,2022,882,122,127
ZCTA5 21902,244,25,14,0,0
ZCTA5 21903,4044,713,235,47,96
ZCTA5 21904,5243,587,345,19,4
ZCTA5 21911,7201,750,313,74,15
ZCTA5 21912,711,54,14,0,68
ZCTA5 21913,627,26,52,0,7
ZCTA5 21914,347,33,32,0,13
ZCTA5 21915,1903,274,80,16,7
ZCTA5 21916,35,8,12,3,3
ZCTA5 21917,1895,291,104,24,0
ZCTA5 21918,2787,301,76,31,40
ZCTA5 21919,2470,308,62,19,14
ZCTA5 21920,205,0,0,0,0
ZCTA5 21921,28001,4096,2018,227,328
ZCTA5 21930,139,12,0,23,0
ZCTA5 22003,41013,10906,6509,1507,1125
ZCTA5 22015,30294,10448,6351,1047,870
ZCTA5 22025,11780,3284,2522,242,225
ZCTA5 22026,9403,1614,1022,20,94
ZCTA5 22027,1519,488,416,112,180
ZCTA5 22030,36822,11994,7257,1553,1195
ZCTA5 22031,23236,7225,5881,921,843
ZCTA5 22032,19942,6362,4975,882,843
ZCTA5 22033,26993,9673,6416,975,749
ZCTA5 22035,0,0,0,0,0
ZCTA5 22039,12240,4057,3755,842,498
ZCTA5 22041,19882,4710,2504,807,520
ZCTA5 22042,24183,6099,3603,862,585
ZCTA5 22043,17887,5239,4382,777,876
ZCTA5 22044,10139,2566,1606,616,351
ZCTA5 22046,11886,3996,3113,1106,442
ZCTA5 22060,5373,1234,945,170,47
ZCTA5 22066,12315,4407,3261,1439,781
ZCTA5 22079,22038,6342,3889,897,305
ZCTA5 22101,20394,6186,6088,2956,1611
ZCTA5 22102,17442,5776,4707,2103,1005
ZCTA5 22124,12878,4839,3545,968,725
ZCTA5 22125,542,173,138,29,12
ZCTA5 22134,2965,935,169,73,51
ZCTA5 22150,18611,4618,1956,455,301
ZCTA5 22151,11929,2931,1829,327,181
ZCTA5 22152,19820,5950,4622,609,504
ZCTA5 22153,20881,6196,4855,644,426
ZCTA5 22172,5796,1259,581,77,25
ZCTA5 22180,16781,5417,4252,1232,740
ZCTA5 22181,10406,3494,2956,697,595
ZCTA5 22182,18137,6812,4870,1388,1003
ZCTA5 22185,0,0,0,0,0
ZCTA5 22191,42243,7945,4269,562,249
ZCTA5 22192,37173,9863,5831,728,369
ZCTA5 22193,49686,8722,4078,553,253
ZCTA5 22201,28079,11659,7568,3223,1210
ZCTA5 22202,18423,6292,6512,1955,890
ZCTA5 22203,17963,6180,4217,1293,898
ZCTA5 22204,39506,11672,6991,1516,790
ZCTA5 22205,13584,4547,3851,1093,653
ZCTA5 22206,16356,5867,4658,1192,651
ZCTA5 22207,22151,7040,6062,2652,1371
ZCTA5 22209,10100,3803,3003,1296,502
ZCTA5 22211,269,62,13,0,8
ZCTA5 22213,2509,953,651,286,154
ZCTA5 22214,0,0,0,0,0
ZCTA5 22301,8978,3032,2606,1029,453
ZCTA5 22302,14368,4840,3298,1035,398
ZCTA5 22303,10646,3189,2246,599,441
ZCTA5 22304,35190,10185,6431,1689,913
ZCTA5 22305,12001,2765,2267,624,393
ZCTA5 22306,22042,4301,2650,632,355
ZCTA5 22307,7454,2577,1630,625,297
ZCTA5 22308,8994,3066,2636,974,380
ZCTA5 22309,23158,4629,2956,653,259
ZCTA5 22310,21566,6678,4198,888,507
ZCTA5 22311,13495,3638,1904,385,173
ZCTA5 22312,22692,5804,3312,541,347
ZCTA5 22314,25848,8861,7063,3031,1590
ZCTA5 22315,19999,6753,4793,1060,599
ZCTA5 22401,16063,3409,1920,364,305
ZCTA5 22405,19269,4042,2178,213,174
ZCTA5 22406,14892,3269,1670,125,264
ZCTA5 22407,37355,6598,3503,374,241
ZCTA5 22408,18050,3652,2245,197,162
ZCTA5 22427,2478,401,85,34,17
ZCTA5 22432,278,26,14,0,0
ZCTA5 22433,209,39,0,0,0
ZCTA5 22435,1834,171,125,7,8
ZCTA5 22436,646,59,21,0,0
ZCTA5 22437,707,22,8,21,0
ZCTA5 22438,146,0,0,9,10
ZCTA5 22443,5973,693,254,36,52
ZCTA5 22448,267,62,25,3,3
ZCTA5 22454,1248,143,92,0,3
ZCTA5 22460,1114,35,86,0,0
ZCTA5 22469,1162,110,32,0,14
ZCTA5 22473,3870,599,181,97,62
ZCTA5 22476,503,43,30,0,0
ZCTA5 22480,802,179,128,50,51
ZCTA5 22482,2400,411,195,34,51
ZCTA5 22485,15874,3010,1855,116,139
ZCTA5 22488,919,160,180,20,0
ZCTA5 22503,3301,508,169,39,34
ZCTA5 22504,209,14,14,0,0
ZCTA5 22508,9818,1934,1073,202,21
ZCTA5 22509,6,0,0,0,0
ZCTA5 22511,996,206,36,15,36
ZCTA5 22514,1752,182,48,4,0
ZCTA5 22520,4176,504,218,42,17
ZCTA5 22529,356,0,0,0,0
ZCTA5 22530,23,10,0,0,0
ZCTA5 22534,2000,104,95,8,13
ZCTA5 22535,325,45,1,8,2
ZCTA5 22538,131,4,0,0,10
ZCTA5 22539,1993,290,95,20,0
ZCTA5 22542,1371,129,139,14,0
ZCTA5 22546,10930,1535,670,40,90
ZCTA5 22548,59,30,0,0,0
ZCTA5 22551,13800,2010,884,133,68
ZCTA5 22553,8910,1972,904,203,125
ZCTA5 22554,33797,7823,4819,282,448
ZCTA5 22556,17283,3676,2001,191,73
ZCTA5 22560,4271,408,221,29,17
ZCTA5 22567,1859,184,78,38,0
ZCTA5 22572,5663,541,110,7,66
ZCTA5 22576,1253,122,127,10,39
ZCTA5 22578,1859,383,202,100,47
ZCTA5 22579,50,0,36,0,0
ZCTA5 22580,3474,312,159,0,65
ZCTA5 22601,18987,2848,1500,591,319
ZCTA5 22602,19300,4067,1776,134,247
ZCTA5 22603,10374,1326,601,224,129
ZCTA5 22610,1234,130,43,0,0
ZCTA5 22611,6295,1048,523,146,70
ZCTA5 22620,1698,401,72,55,31
ZCTA5 22623,437,84,60,0,18
ZCTA5 22624,1739,184,68,21,0
ZCTA5 22625,2745,669,217,132,50
ZCTA5 22627,489,105,41,21,40
ZCTA5 22630,21556,3069,1283,75,104
ZCTA5 22637,1501,169,132,30,14
ZCTA5 22639,373,117,19,0,13
ZCTA5 22640,499,49,78,19,18
ZCTA5 22641,225,8,0,0,0
ZCTA5 22642,3019,462,192,25,42
ZCTA5 22643,77,6,9,0,0
ZCTA5 22644,1707,262,102,37,17
ZCTA5 22645,2688,546,228,34,31
ZCTA5 22646,137,28,22,0,7
ZCTA5 22650,664,64,6,5,10
ZCTA5 22652,864,146,64,10,37
ZCTA5 22654,846,186,16,0,19
ZCTA5 22655,13461,2580,1298,150,194
ZCTA5 22656,1897,391,139,6,0
ZCTA5 22657,7367,788,395,129,57
ZCTA5 22660,1356,140,23,26,0
ZCTA5 22663,1128,98,67,38,25
ZCTA5 22664,6173,832,271,9,55
ZCTA5 22701,21187,3167,1104,243,134
ZCTA5 22709,688,86,65,13,0
ZCTA5 22711,14,14,0,0,0
ZCTA5 22712,5220,801,297,36,21
ZCTA5 22713,1039,131,32,2,0
ZCTA5 22714,806,147,7,0,0
ZCTA5 22715,1141,51,26,0,0
ZCTA5 22716,840,252,74,0,17
ZCTA5 22718,590,37,0,0,0
ZCTA5 22719,272,36,0,0,0
ZCTA5 22720,714,79,32,11,0
ZCTA5 22722,264,67,0,0,0
ZCTA5 22723,38,0,0,0,0
ZCTA5 22724,1642,267,184,40,13
ZCTA5 22726,401,20,45,0,0
ZCTA5 22727,3514,499,267,37,26
ZCTA5 22728,2265,373,116,52,14
ZCTA5 22729,1093,24,15,0,0
ZCTA5 22730,37,0,0,0,0
ZCTA5 22731,25,0,0,0,0
ZCTA5 22732,201,80,10,0,0
ZCTA5 22733,1251,173,119,16,0
ZCTA5 22734,2138,172,105,14,0
ZCTA5 22735,1876,383,84,63,25
ZCTA5 22736,557,122,29,10,0
ZCTA5 22737,1718,216,76,10,20
ZCTA5 22738,794,168,52,0,9
ZCTA5 22740,1009,122,86,54,38
ZCTA5 22741,81,0,0,0,0
ZCTA5 22742,1357,216,45,14,4
ZCTA5 22743,224,48,71,57,13
ZCTA5 22747,818,192,75,3,12
ZCTA5 22749,193,52,28,5,8
ZCTA5 22801,18408,4226,1743,523,804
ZCTA5 22802,18801,3236,1937,246,395
ZCTA5 22807,18,4,2,0,0
ZCTA5 22810,539,118,63,0,0
ZCTA5 22811,355,10,12,9,0
ZCTA5 22812,5512,1007,455,83,149
ZCTA5 22815,5686,645,437,39,0
ZCTA5 22820,173,0,0,0,0
ZCTA5 22821,3840,578,139,5,18
ZCTA5 22824,4689,488,168,93,46
ZCTA5 22827,7142,592,173,35,15
ZCTA5 22830,1317,79,30,0,0
ZCTA5 22831,686,39,27,5,0
ZCTA5 22832,885,192,56,10,12
ZCTA5 22834,751,158,72,36,8
ZCTA5 22835,8355,825,401,44,76
ZCTA5 22840,3363,676,366,63,68
ZCTA5 22841,2095,251,130,17,42
ZCTA5 22842,3864,449,103,55,20
ZCTA5 22843,1581,212,94,0,0
ZCTA5 22844,3549,455,248,54,39
ZCTA5 22845,0,0,0,0,0
ZCTA5 22846,1367,320,154,11,51
ZCTA5 22847,720,128,50,9,0
ZCTA5 22849,3248,228,72,30,0
ZCTA5 22850,617,60,39,10,0
ZCTA5 22851,4491,291,122,6,4
ZCTA5 22853,3237,223,179,9,9
ZCTA5 22901,24024,5643,3955,1473,1357
ZCTA5 22902,16560,3694,2321,917,963
ZCTA5 22903,22045,6443,3436,1792,1623
ZCTA5 22904,100,15,12,0,33
ZCTA5 22911,12576,3390,2127,580,581
ZCTA5 22920,3035,566,495,58,104
ZCTA5 22922,1239,127,92,42,0
ZCTA5 22923,3265,571,298,45,50
ZCTA5 22931,319,135,11,0,0
ZCTA5 22932,5381,1221,863,213,258
ZCTA5 22935,586,0,15,24,42
ZCTA5 22936,3306,871,549,205,250
ZCTA5 22937,1112,103,38,34,0
ZCTA5 22938,1244,121,155,67,0
ZCTA5 22939,3596,718,369,45,155
ZCTA5 22940,766,168,57,9,6
ZCTA5 22942,6008,963,449,88,67
ZCTA5 22943,160,6,32,12,0
ZCTA5 22946,160,36,20,0,0
ZCTA5 22947,3362,1155,489,187,134
ZCTA5 22948,113,24,0,0,9
ZCTA5 22949,845,109,50,0,15
ZCTA5 22952,1765,335,108,20,17
ZCTA5 22958,1654,301,390,78,80
ZCTA5 22959,997,193,55,9,5
ZCTA5 22960,7554,945,465,55,34
ZCTA5 22963,10549,2269,1322,160,235
ZCTA5 22964,108,19,0,0,0
ZCTA5 22967,1310,291,132,16,39
ZCTA5 22968,7028,1345,361,30,101
ZCTA5 22969,854,84,66,0,7
ZCTA5 22971,1151,142,84,18,0
ZCTA5 22972,231,11,0,0,11
ZCTA5 22973,4604,489,283,53,19
ZCTA5 22974,4803,781,248,81,43
ZCTA5 22976,257,20,0,0,0
ZCTA5 22980,22097,3075,1009,244,135
ZCTA5 22989,0,0,0,0,0
ZCTA5 23002,7171,906,193,40,23
ZCTA5 23004,637,48,0,0,0
ZCTA5 23005,10057,1810,799,179,119
ZCTA5 23009,4508,553,185,40,31
ZCTA5 23011,1282,61,31,0,16
ZCTA5 23015,2900,574,219,83,31
ZCTA5 23021,261,75,32,0,21
ZCTA5 23022,823,148,64,0,9
ZCTA5 23023,265,27,14,0,0
ZCTA5 23024,6197,823,387,51,35
ZCTA5 23025,125,0,34,0,0
ZCTA5 23027,847,29,0,0,0
ZCTA5 23030,3789,292,134,22,32
ZCTA5 23032,190,32,0,0,0
ZCTA5 23035,961,101,107,0,0
ZCTA5 23038,1063,172,92,1,11
ZCTA5 23039,904,188,55,48,22
ZCTA5 23040,2980,175,113,26,15
ZCTA5 23043,1252,212,133,9,23
ZCTA5 23045,40,0,0,0,0
ZCTA5 23047,1216,173,92,22,40
ZCTA5 23050,604,24,19,12,0
ZCTA5 23055,723,109,78,9,0
ZCTA5 23056,256,85,10,0,0
ZCTA5 23059,22339,7393,3803,1240,729
ZCTA5 23060,23265,6841,3129,710,372
ZCTA5 23061,15280,2239,930,137,96
ZCTA5 23062,1635,319,143,0,15
ZCTA5 23063,3558,734,186,34,32
ZCTA5 23064,94,29,0,0,0
ZCTA5 23065,1534,173,101,13,0
ZCTA5 23066,392,0,69,34,0
ZCTA5 23068,278,74,81,0,0
ZCTA5 23069,2244,424,80,16,48
ZCTA5 23070,540,148,30,50,54
ZCTA5 23071,1240,282,144,25,20
ZCTA5 23072,8140,1026,520,77,32
ZCTA5 23075,6844,749,397,0,53
ZCTA5 23076,646,87,98,12,0
ZCTA5 23079,359,62,22,13,0
ZCTA5 23083,1330,107,25,0,0
ZCTA5 23084,1240,292,8,22,10
ZCTA5 23085,327,36,0,0,0
ZCTA5 23086,2271,209,107,42,0
ZCTA5 23089,3763,607,172,48,14
ZCTA5 23091,284,38,0,32,0
ZCTA5 23092,451,81,0,0,0
ZCTA5 23093,9349,1209,492,98,100
ZCTA5 23102,2081,405,90,40,49
ZCTA5 23103,3830,1240,484,226,56
ZCTA5 23106,616,36,23,0,0
ZCTA5 23108,173,32,0,0,0
ZCTA5 23109,2004,310,144,17,24
ZCTA5 23110,485,73,8,13,0
ZCTA5 23111,25478,5357,2063,318,173
ZCTA5 23112,32976,9588,4154,579,744
ZCTA5 23113,16928,5703,2878,1197,544
ZCTA5 23114,11883,3812,1773,416,167
ZCTA5 23115,149,0,13,0,0
ZCTA5 23116,18349,5892,2188,462,323
ZCTA5 23117,6442,921,425,71,57
ZCTA5 23119,279,74,39,25,5
ZCTA5 23120,4565,1585,812,140,75
ZCTA5 23123,1286,175,0,0,0
ZCTA5 23124,2456,282,138,47,23
ZCTA5 23125,59,0,0,0,0
ZCTA5 23126,151,21,18,0,0
ZCTA5 23128,842,232,93,0,0
ZCTA5 23129,274,120,32,8,9
ZCTA5 23130,76,0,0,0,0
ZCTA5 23138,241,53,28,25,0
ZCTA5 23139,16981,3364,1282,207,62
ZCTA5 23140,4284,603,433,2,82
ZCTA5 23141,4330,889,174,29,53
ZCTA5 23146,2233,580,278,24,25
ZCTA5 23148,1491,264,33,0,16
ZCTA5 23149,2217,222,124,0,7
ZCTA5 23150,8065,1122,390,32,29
ZCTA5 23153,828,150,58,40,0
ZCTA5 23156,1206,89,84,12,14
ZCTA5 23160,2369,26,15,1,1
ZCTA5 23161,140,8,13,0,0
ZCTA5 23163,116,0,14,0,13
ZCTA5 23168,4267,1027,461,92,87
ZCTA5 23169,1062,122,9,31,0
ZCTA5 23173,49,15,24,10,0
ZCTA5 23175,1448,200,82,14,13
ZCTA5 23176,407,14,0,0,0
ZCTA5 23177,366,70,13,4,0
ZCTA5 23180,257,13,24,0,3
ZCTA5 23181,4061,610,196,26,0
ZCTA5 23185,31384,7983,4583,1246,1295
ZCTA5 23187,0,0,0,0,0
ZCTA5 23188,29256,8294,4258,765,758
ZCTA5 23192,5002,895,298,40,15
ZCTA5 23219,2369,508,246,189,39
ZCTA5 23220,19125,5765,2261,804,414
ZCTA5 23221,12393,4844,2360,772,349
ZCTA5 23222,17456,2140,685,77,132
ZCTA5 23223,32586,5162,1888,634,218
ZCTA5 23224,22670,2057,622,85,90
ZCTA5 23225,28996,5752,2606,488,452
ZCTA5 23226,11752,4409,1954,815,259
ZCTA5 23227,18937,4475,2115,595,281
ZCTA5 23228,24930,4950,1754,139,104
ZCTA5 23229,23859,7432,3178,1512,420
ZCTA5 23230,4537,1057,594,45,123
ZCTA5 23231,24358,3799,1380,209,179
ZCTA5 23233,20586,8297,3882,1093,558
ZCTA5 23234,28863,3236,1157,209,146
ZCTA5 23235,22343,6351,3103,606,625
ZCTA5 23236,18859,4362,1848,297,364
ZCTA5 23237,14135,1968,634,49,64
ZCTA5 23238,18753,5937,2672,688,527
ZCTA5 23250,0,0,0,0,0
ZCTA5 23294,12224,3089,1324,365,187
ZCTA5 23301,872,64,37,5,4
ZCTA5 23302,184,13,18,0,0
ZCTA5 23303,940,309,17,0,0
ZCTA5 23304,161,21,23,0,0
ZCTA5 23306,621,45,95,4,14
ZCTA5 23307,381,112,0,0,0
ZCTA5 23308,1289,58,29,0,0
ZCTA5 23310,3330,516,144,35,6
ZCTA5 23313,74,0,0,0,0
ZCTA5 23314,5139,1226,485,170,71
ZCTA5 23315,1135,113,83,0,0
ZCTA5 23316,274,18,0,0,7
ZCTA5 23320,37325,8585,3529,549,478
ZCTA5 23321,22329,4345,2244,353,161
ZCTA5 23322,42483,8571,4418,1033,313
ZCTA5 23323,24066,4194,1580,192,185
ZCTA5 23324,14251,1453,411,14,21
ZCTA5 23325,11681,1423,853,104,69
ZCTA5 23336,2331,278,258,79,15
ZCTA5 23337,387,94,0,20,0
ZCTA5 23347,380,27,1,11,20
ZCTA5 23350,2446,167,118,21,0
ZCTA5 23354,127,78,0,0,0
ZCTA5 23356,957,301,88,30,0
ZCTA5 23357,509,35,15,0,0
ZCTA5 23358,35,9,0,0,0
ZCTA5 23359,682,8,9,0,0
ZCTA5 23389,106,0,33,73,0
ZCTA5 23395,259,43,0,0,0
ZCTA5 23398,57,11,0,11,0
ZCTA5 23401,160,2,3,0,4
ZCTA5 23405,931,155,16,0,40
ZCTA5 23407,306,0,17,0,0
ZCTA5 23408,22,0,0,0,0
ZCTA5 23409,90,0,0,12,0
ZCTA5 23410,1945,95,168,15,12
ZCTA5 23413,759,169,92,12,2
ZCTA5 23414,52,0,0,0,0
ZCTA5 23415,1191,128,9,0,0
ZCTA5 23416,258,0,0,0,0
ZCTA5 23417,2496,316,270,30,46
ZCTA5 23418,641,109,24,10,9
ZCTA5 23420,1827,264,94,0,31
ZCTA5 23421,3114,282,150,0,36
ZCTA5 23422,145,6,0,0,0
ZCTA5 23423,287,30,0,0,0
ZCTA5 23426,155,0,0,0,0
ZCTA5 23427,169,12,1,0,0
ZCTA5 23430,12501,2281,1059,194,142
ZCTA5 23432,840,148,53,6,14
ZCTA5 23433,877,191,88,59,13
ZCTA5 23434,31777,4142,1990,196,133
ZCTA5 23435,18329,4054,2057,506,193
ZCTA5 23436,854,199,116,28,4
ZCTA5 23437,2920,425,86,19,10
ZCTA5 23438,1461,209,111,0,0
ZCTA5 23440,403,24,3,0,4
ZCTA5 23441,92,0,0,0,0
ZCTA5 23442,773,74,20,0,0
ZCTA5 23451,30560,8828,3599,1174,449
ZCTA5 23452,41034,7661,3163,837,375
ZCTA5 23453,22867,3805,1234,270,89
ZCTA5 23454,39503,9564,3443,828,332
ZCTA5 23455,34036,7859,3730,992,539
ZCTA5 23456,34763,9009,3698,696,443
ZCTA5 23457,3157,511,282,67,23
ZCTA5 23459,503,51,33,0,12
ZCTA5 23460,263,68,22,0,0
ZCTA5 23461,164,70,14,0,0
ZCTA5 23462,40884,7366,2454,334,347
ZCTA5 23464,50449,11302,4425,545,385
ZCTA5 23480,265,13,9,1,7
ZCTA5 23486,152,0,47,0,0
ZCTA5 23487,4424,527,130,34,0
ZCTA5 23488,109,0,0,0,0
ZCTA5 23502,14331,2078,778,87,66
ZCTA5 23503,22002,2776,1332,246,264
ZCTA5 23504,12351,1377,596,83,101
ZCTA5 23505,19670,3044,1596,371,346
ZCTA5 23507,5372,1786,1142,471,206
ZCTA5 23508,9254,2299,1539,495,357
ZCTA5 23509,8820,1365,573,173,132
ZCTA5 23510,5118,1060,766,304,190
ZCTA5 23511,3255,578,89,5,8
ZCTA5 23513,19898,2599,604,66,57
ZCTA5 23517,3306,927,378,164,131
ZCTA5 23518,20696,3155,1511,211,186
ZCTA5 23523,4844,187,82,0,30
ZCTA5 23551,155,5,0,0,0
ZCTA5 23601,18458,2619,1198,251,261
ZCTA5 23602,26541,4881,2615,294,359
ZCTA5 23603,2176,342,126,6,0
ZCTA5 23604,2123,325,97,0,0
ZCTA5 23605,8650,807,262,81,0
ZCTA5 23606,17794,3560,2019,365,231
ZCTA5 23607,13692,955,505,36,53
ZCTA5 23608,27376,4089,1414,148,146
ZCTA5 23651,354,163,48,14,12
ZCTA5 23661,9691,1048,493,69,47
ZCTA5 23662,8367,1876,949,159,119
ZCTA5 23663,8704,1118,244,27,36
ZCTA5 23664,6886,1228,714,156,100
ZCTA5 23665,2257,397,198,21,0
ZCTA5 23666,35167,5521,2646,253,267
ZCTA5 23669,26661,3834,1800,210,192
ZCTA5 23690,2063,313,95,35,58
ZCTA5 23691,73,19,12,0,0
ZCTA5 23692,13497,2636,2143,250,202
ZCTA5 23693,15768,4129,2907,461,578
ZCTA5 23696,2634,724,195,68,60
ZCTA5 23701,17564,2176,969,105,66
ZCTA5 23702,6958,593,54,58,24
ZCTA5 23703,17335,3112,1523,249,182
ZCTA5 23704,11776,1487,582,130,140
ZCTA5 23707,9647,1055,556,63,42
ZCTA5 23708,50,0,0,0,0
ZCTA5 23709,66,0,0,0,0
ZCTA5 23801,2059,439,171,11,0
ZCTA5 23803,26597,2310,1216,88,124
ZCTA5 23805,13795,1757,961,124,109
ZCTA5 23806,9,9,0,0,0
ZCTA5 23821,1322,139,45,7,0
ZCTA5 23824,5016,552,214,60,0
ZCTA5 23827,911,51,25,4,2
ZCTA5 23828,241,3,9,0,0
ZCTA5 23829,2225,145,98,0,7
ZCTA5 23830,769,91,30,0,0
ZCTA5 23831,23324,4343,2440,247,206
ZCTA5 23832,22616,5139,2144,335,377
ZCTA5 23833,2073,181,93,14,54
ZCTA5 23834,16833,2388,1019,128,240
ZCTA5 23836,8414,1701,926,292,179
ZCTA5 23837,3338,375,122,28,9
ZCTA5 23838,11247,2634,1029,320,154
ZCTA5 23839,524,48,13,0,0
ZCTA5 23840,1529,76,26,0,0
ZCTA5 23841,2883,303,154,14,13
ZCTA5 23842,4973,677,216,16,18
ZCTA5 23843,441,58,8,0,0
ZCTA5 23844,415,56,31,0,0
ZCTA5 23845,265,99,0,0,0
ZCTA5 23846,610,67,14,12,0
ZCTA5 23847,11738,676,436,88,49
ZCTA5 23850,602,29,0,0,0
ZCTA5 23851,8991,1261,562,88,34
ZCTA5 23856,555,63,0,0,16
ZCTA5 23857,518,15,9,0,16
ZCTA5 23860,22129,1960,886,70,79
ZCTA5 23866,1396,180,92,10,0
ZCTA5 23867,1198,171,82,2,0
ZCTA5 23868,4977,320,209,32,37
ZCTA5 23872,1760,173,126,0,0
ZCTA5 23874,847,89,58,5,10
ZCTA5 23875,7607,1146,532,67,66
ZCTA5 23876,352,23,59,21,20
ZCTA5 23878,914,96,32,0,0
ZCTA5 23879,412,32,45,0,0
ZCTA5 23881,1327,118,58,16,0
ZCTA5 23882,1255,150,82,0,6
ZCTA5 23883,1971,421,108,4,28
ZCTA5 23884,75,23,0,0,0
ZCTA5 23885,1768,174,93,8,0
ZCTA5 23887,345,19,0,10,0
ZCTA5 23888,1252,162,43,14,4
ZCTA5 23889,418,15,0,0,0
ZCTA5 23890,2121,168,107,1,7
ZCTA5 23891,4386,67,60,13,0
ZCTA5 23893,169,15,0,0,0
ZCTA5 23894,413,148,0,0,0
ZCTA5 23897,415,53,48,20,0
ZCTA5 23898,1519,214,42,0,0
ZCTA5 23899,220,11,17,1,4
ZCTA5 23901,9717,1472,643,172,258
ZCTA5 23909,4,0,0,0,0
ZCTA5 23915,753,23,15,0,0
ZCTA5 23917,2682,282,142,8,11
ZCTA5 23919,1768,169,86,24,10
ZCTA5 23920,2886,158,205,10,0
ZCTA5 23921,1408,173,73,46,33
ZCTA5 23922,2820,209,75,20,0
ZCTA5 23923,1711,148,110,0,4
ZCTA5 23924,4241,221,110,47,29
ZCTA5 23927,3207,496,267,22,24
ZCTA5 23930,3803,486,164,16,4
ZCTA5 23934,435,83,9,0,0
ZCTA5 23936,5907,388,71,13,40
ZCTA5 23937,1328,102,39,12,3
ZCTA5 23938,218,39,0,0,0
ZCTA5 23942,827,37,55,0,0
ZCTA5 23943,72,25,13,0,34
ZCTA5 23944,2759,283,101,0,9
ZCTA5 23947,2667,318,119,5,27
ZCTA5 23950,2302,139,49,0,0
ZCTA5 23952,108,0,0,0,0
ZCTA5 23954,1215,85,89,28,10
ZCTA5 23958,2203,128,168,57,32
ZCTA5 23959,924,113,38,0,2
ZCTA5 23960,1339,94,10,5,0
ZCTA5 23962,377,41,6,0,0
ZCTA5 23963,117,14,0,0,0
ZCTA5 23964,855,92,30,0,0
ZCTA5 23966,1906,225,124,40,31
ZCTA5 23967,841,39,46,0,12
ZCTA5 23968,537,85,30,3,0
ZCTA5 23970,5958,654,326,96,0
ZCTA5 23974,4152,248,116,14,23
ZCTA5 23976,64,28,0,0,0
ZCTA5 24011,265,101,11,61,37
ZCTA5 24012,20455,2732,789,129,104
ZCTA5 24013,5412,168,70,17,0
ZCTA5 24014,12928,2717,840,636,312
ZCTA5 24015,11271,2872,1396,422,165
ZCTA5 24016,6296,704,457,106,71
ZCTA5 24017,15874,1418,482,64,53
ZCTA5 24018,27415,8367,2726,1398,656
ZCTA5 24019,18829,3909,1140,127,121
ZCTA5 24020,27,25,0,0,0
ZCTA5 24053,2208,174,42,0,12
ZCTA5 24054,4401,198,37,14,27
ZCTA5 24055,9035,549,244,19,52
ZCTA5 24058,218,19,0,0,0
ZCTA5 24059,535,163,0,40,0
ZCTA5 24060,22837,6252,4204,1040,2899
ZCTA5 24064,3169,552,282,7,4
ZCTA5 24065,4686,676,212,161,0
ZCTA5 24066,3544,306,172,23,10
ZCTA5 24067,1580,217,30,0,11
ZCTA5 24069,1467,67,51,0,0
ZCTA5 24070,1091,114,59,16,26
ZCTA5 24072,1039,46,57,18,25
ZCTA5 24073,21914,5136,2114,348,500
ZCTA5 24076,961,77,0,0,0
ZCTA5 24077,793,159,16,0,0
ZCTA5 24078,5376,592,245,58,82
ZCTA5 24079,1462,144,14,0,9
ZCTA5 24082,163,12,6,5,0
ZCTA5 24083,1915,371,103,12,15
ZCTA5 24084,8324,976,356,47,43
ZCTA5 24085,1532,165,117,0,10
ZCTA5 24086,114,0,9,0,10
ZCTA5 24087,3015,272,139,11,63
ZCTA5 24088,2638,270,105,7,29
ZCTA5 24089,2031,118,87,19,0
ZCTA5 24090,3507,791,161,26,75
ZCTA5 24091,4975,742,308,53,28
ZCTA5 24092,2082,159,53,0,0
ZCTA5 24093,143,0,0,0,0
ZCTA5 24095,3306,311,68,0,9
ZCTA5 24101,4832,745,302,85,0
ZCTA5 24102,1317,16,62,0,0
ZCTA5 24104,2718,386,78,47,13
ZCTA5 24105,428,31,0,0,0
ZCTA5 24112,22961,2110,851,246,157
ZCTA5 24120,1196,166,49,39,0
ZCTA5 24121,8051,1572,728,142,7
ZCTA5 24122,1250,126,21,14,5
ZCTA5 24124,3026,229,18,23,14
ZCTA5 24127,3043,378,44,27,17
ZCTA5 24128,1359,177,129,23,41
ZCTA5 24130,21,0,11,0,0
ZCTA5 24131,52,52,0,0,0
ZCTA5 24132,357,42,17,0,0
ZCTA5 24133,2002,141,139,0,0
ZCTA5 24134,3720,359,203,64,13
ZCTA5 24136,2520,352,105,33,68
ZCTA5 24137,2093,372,155,16,10
ZCTA5 24138,1172,214,94,21,13
ZCTA5 24139,500,11,27,0,0
ZCTA5 24141,12616,2201,1041,152,442
ZCTA5 24142,13,0,4,5,0
ZCTA5 24147,977,35,21,4,5
ZCTA5 24148,5830,410,129,0,28
ZCTA5 24149,2564,453,298,12,61
ZCTA5 24150,572,45,0,0,0
ZCTA5 24151,13907,1363,775,76,60
ZCTA5 24153,25914,4159,1903,448,385
ZCTA5 24161,356,21,25,0,0
ZCTA5 24162,1527,61,11,14,31
ZCTA5 24165,1153,75,39,0,0
