Zipcode,Population Total,Bachelor population,Master population,Professional school degree population,Doctorate degree population
ZCTA5 01022,1868,286,227,0,0
ZCTA5 01026,784,169,104,12,8
ZCTA5 01027,13729,2982,1306,208,96
ZCTA5 01028,11534,2546,1506,625,76
ZCTA5 01029,553,85,24,16,0
ZCTA5 01030,7868,1518,631,91,48
ZCTA5 01031,940,141,44,0,10
ZCTA5 01032,479,93,96,0,18
ZCTA5 01033,4507,806,513,125,94
ZCTA5 01034,1561,315,109,31,15
ZCTA5 01035,4192,1074,595,131,145
ZCTA5 01036,3756,803,489,81,49
ZCTA5 01037,507,90,88,28,0
ZCTA5 01038,2176,482,260,47,51
ZCTA5 01039,963,234,220,48,25
ZCTA5 01040,26329,3842,1726,345,249
ZCTA5 01050,1691,174,113,10,15
ZCTA5 01053,1390,285,154,86,46
ZCTA5 01054,1502,368,312,75,183
ZCTA5 01056,15750,2131,920,134,91
ZCTA5 01057,6360,1071,557,46,87
ZCTA5 01060,9949,2482,1979,643,900
ZCTA5 01062,7789,1934,1514,462,524
ZCTA5 01063,12,0,0,0,0
ZCTA5 01066,10,0,0,10,0
ZCTA5 01068,1252,278,156,15,20
ZCTA5 01069,6471,981,549,28,26
ZCTA5 01070,443,95,63,29,11
ZCTA5 01071,998,213,68,9,8
ZCTA5 01072,1058,249,289,36,91
ZCTA5 01073,4485,764,429,82,62
ZCTA5 01074,171,63,0,0,0
ZCTA5 01075,11817,2411,1596,231,403
ZCTA5 01077,6784,1120,878,145,131
ZCTA5 01079,469,137,0,0,0
ZCTA5 01080,1614,210,32,0,9
ZCTA5 01081,1224,171,34,14,7
ZCTA5 01082,7184,1086,432,21,14
ZCTA5 01083,2075,305,7,0,0
ZCTA5 01084,138,37,40,6,3
ZCTA5 01085,26651,5843,2262,403,220
ZCTA5 01086,16,8,0,0,0
ZCTA5 01088,442,71,77,11,0
ZCTA5 01089,19502,3739,1693,228,119
ZCTA5 01092,931,231,1,0,0
ZCTA5 01093,244,78,51,9,6
ZCTA5 01094,268,36,28,0,0
ZCTA5 01095,10376,2644,1442,327,91
ZCTA5 01096,1834,416,226,30,35
ZCTA5 01097,20,0,0,0,0
ZCTA5 01098,892,180,118,20,17
ZCTA5 01103,1674,139,105,63,33
ZCTA5 01104,14835,1272,432,54,93
ZCTA5 01105,7022,344,144,56,48
ZCTA5 01106,11020,3117,2370,1310,447
ZCTA5 01107,6515,393,182,18,12
ZCTA5 01108,16110,1779,1264,161,110
ZCTA5 01109,15689,1493,561,139,36
ZCTA5 01118,10009,1878,860,95,105
ZCTA5 01119,8453,1083,551,72,27
ZCTA5 01128,1853,325,118,7,43
ZCTA5 01129,5118,672,463,58,24
ZCTA5 01151,5290,515,184,100,10
ZCTA5 01199,0,0,0,0,0
ZCTA5 01201,32928,5158,2618,598,328
ZCTA5 01220,6040,949,301,28,63
ZCTA5 01222,628,157,49,0,0
ZCTA5 01223,1887,322,203,61,43
ZCTA5 01224,102,0,19,0,0
ZCTA5 01225,2327,306,96,0,9
ZCTA5 01226,4998,932,413,78,55
ZCTA5 01229,92,32,0,0,6
ZCTA5 01230,5851,1257,866,259,95
ZCTA5 01235,2151,421,162,31,19
ZCTA5 01236,1011,244,245,90,21
ZCTA5 01237,1922,321,222,34,33
ZCTA5 01238,4438,1059,429,174,72
ZCTA5 01240,3569,836,599,289,56
ZCTA5 01242,278,51,27,0,0
ZCTA5 01243,322,40,38,0,0
ZCTA5 01244,107,34,18,0,0
ZCTA5 01245,765,196,118,33,15
ZCTA5 01247,11041,1575,710,167,100
ZCTA5 01253,559,80,45,29,6
ZCTA5 01254,790,224,84,54,42
ZCTA5 01255,645,121,91,4,15
ZCTA5 01256,568,48,39,2,5
ZCTA5 01257,1686,289,238,13,20
ZCTA5 01258,314,116,34,8,8
ZCTA5 01259,494,108,87,28,4
ZCTA5 01260,309,19,6,0,0
ZCTA5 01262,993,152,145,15,42
ZCTA5 01264,137,19,33,0,8
ZCTA5 01266,1138,293,174,64,42
ZCTA5 01267,4164,1032,886,178,426
ZCTA5 01270,583,140,91,5,5
ZCTA5 01301,13051,2154,1604,209,89
ZCTA5 01330,1094,292,176,27,16
ZCTA5 01331,9384,1131,355,29,81
ZCTA5 01337,1975,350,185,24,16
ZCTA5 01338,168,22,25,0,5
ZCTA5 01339,1032,162,131,23,17
ZCTA5 01340,1286,177,121,23,20
ZCTA5 01341,1255,332,258,61,40
ZCTA5 01342,1111,341,339,13,62
ZCTA5 01343,46,2,0,0,9
ZCTA5 01344,1113,140,43,6,7
ZCTA5 01346,363,67,38,2,19
ZCTA5 01347,102,0,21,0,0
ZCTA5 01349,818,186,27,13,5
ZCTA5 01350,82,13,2,0,0
ZCTA5 01351,1721,378,157,45,32
ZCTA5 01354,1273,318,229,3,39
ZCTA5 01355,721,153,103,8,32
ZCTA5 01360,2246,402,342,62,18
ZCTA5 01364,5571,529,237,45,28
ZCTA5 01366,877,172,103,23,49
ZCTA5 01367,443,79,33,2,9
ZCTA5 01368,959,78,52,4,10
ZCTA5 01370,3144,728,391,23,54
ZCTA5 01373,3261,761,475,21,18
ZCTA5 01375,2163,557,576,40,151
ZCTA5 01376,3909,609,311,9,20
ZCTA5 01378,578,129,59,2,8
ZCTA5 01379,661,161,111,3,23
ZCTA5 01420,25817,3659,1450,107,122
ZCTA5 01430,4225,1235,444,46,20
ZCTA5 01431,2238,332,176,13,22
ZCTA5 01432,5504,1159,740,29,68
ZCTA5 01434,1330,210,96,38,0
ZCTA5 01436,2664,208,178,0,43
ZCTA5 01438,423,1,48,0,0
ZCTA5 01440,14223,1457,723,99,60
ZCTA5 01450,7473,2760,1727,237,257
ZCTA5 01451,3250,1126,867,226,235
ZCTA5 01452,3047,488,255,76,27
ZCTA5 01453,29103,5232,2147,187,293
ZCTA5 01460,6701,2246,1377,120,200
ZCTA5 01462,7801,1794,817,101,39
ZCTA5 01463,7980,1958,808,92,77
ZCTA5 01464,5803,995,363,15,13
ZCTA5 01467,293,106,134,20,0
ZCTA5 01468,2849,328,89,0,16
ZCTA5 01469,4924,1077,407,42,54
ZCTA5 01473,5192,1451,461,175,130
ZCTA5 01474,1291,312,232,6,13
ZCTA5 01475,7427,915,403,87,67
ZCTA5 01501,11494,2621,1246,211,102
ZCTA5 01503,2208,655,325,35,58
ZCTA5 01504,6087,1161,419,69,33
